+--------+------+----+-----------+--------------------+
|movie_id|decade|rank|category_id|          movie_name|
+--------+------+----+-----------+--------------------+
|       1|  2000|   1|         11|    Toy Story (1995)|
|    4306|  2000|   2|         11|        Shrek (2001)|
|    3114|  2000|   3|         11|  Toy Story 2 (1999)|
|    2987|  2000|   4|         11|Who Framed Roger ...|
|    4886|  2000|   5|         11|Monsters, Inc. (2...|
|     364|  2000|   6|         11|Lion King, The (1...|
|     588|  2000|   7|         11|      Aladdin (1992)|
|    6377|  2000|   8|         11| Finding Nemo (2003)|
|    2355|  2000|   9|         11|Bug's Life, A (1998)|
|    3751|  2000|  10|         11|  Chicken Run (2000)|
|     588|  1990|   1|         11|      Aladdin (1992)|
|     595|  1990|   2|         11|Beauty and the Be...|
|       1|  1990|   3|         11|    Toy Story (1995)|
|     364|  1990|   4|         11|Lion King, The (1...|
|     551|  1990|   5|         11|Nightmare Before ...|
|     594|  1990|   6|         11|Snow White and th...|
|      48|  1990|   7|         11|   Pocahontas (1995)|
|     596|  1990|   8|         11|    Pinocchio (1940)|
|     661|  1990|   9|         11|James and the Gia...|
|     783|  1990|  10|         11|Hunchback of Notr...|
|     260|  2000|   1|          4|Star Wars: Episod...|
|     480|  2000|   2|          4|Jurassic Park (1993)|
|    1196|  2000|   3|          4|Star Wars: Episod...|
|    1210|  2000|   4|          4|Star Wars: Episod...|
|    1270|  2000|   5|          4|Back to the Futur...|
|    1198|  2000|   6|          4|Raiders of the Lo...|
|    4993|  2000|   7|          4|Lord of the Rings...|
|    3578|  2000|   8|          4|    Gladiator (2000)|
|       1|  2000|   9|          4|    Toy Story (1995)|
|    4306|  2000|  10|          4|        Shrek (2001)|
|    2571|  2000|   1|         20|  Matrix, The (1999)|
|     260|  2000|   2|         20|Star Wars: Episod...|
|     480|  2000|   3|         20|Jurassic Park (1993)|
|    1196|  2000|   4|         20|Star Wars: Episod...|
|    1210|  2000|   5|         20|Star Wars: Episod...|
|    1270|  2000|   6|         20|Back to the Futur...|
|     589|  2000|   7|         20|Terminator 2: Jud...|
|    1580|  2000|   8|         20| Men in Black (1997)|
|     780|  2000|   9|         20|Independence Day ...|
|    1240|  2000|  10|         20|Terminator, The (...|
|     296|  1990|   1|          5| Pulp Fiction (1994)|
|     150|  1990|   2|          5|    Apollo 13 (1995)|
|     590|  1990|   3|          5|Dances with Wolve...|
|     356|  1990|   4|          5| Forrest Gump (1994)|
|     318|  1990|   5|          5|Shawshank Redempt...|
|     110|  1990|   6|          5|   Braveheart (1995)|
|     329|  1990|   7|          5|Star Trek: Genera...|
|     292|  1990|   8|          5|     Outbreak (1995)|
|     527|  1990|   9|          5|Schindler's List ...|
|     364|  1990|  10|          5|Lion King, The (1...|
